coffee_name,total_score,roaster_location,coffee_origin,roast_level,est._price,agtron_ground,agtron_roast,price_per_ounce,origin_country
Ethiopia Guji Shakiso Dambi Udo Natural Anaerobic,94.0,"Taipei, Taiwan","Guji Zone, southern Ethiopia",Medium Light,NT $360/225 grams,59.0,77.0,12.698412698412698,Ethiopia
Ethiopia Natural Guji,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium Light,NT $210/8 ounces,56.0,76.0,210.0,Ethiopia
Costa Rica Yellow Honey Kinka Bear Lot 20-02,94.0,"Chia-Yi, Taiwan",Costa Rica,Medium Light,NT $250/8 ounces,52.0,70.0,250.0,Rica
Ethiopia Guji Shakiso Dambi Udo Honey,94.0,"Taipei, Taiwan","Guji Zone, southern Ethiopia",Light,NT $350/225 grams,62.0,80.0,12.345679012345679,Ethiopia
Kenya Washed Nyeri Gichathaini Factory AB,94.0,"Chia-Yi, Taiwan","yeri growing region, south-central Kenya",Medium Light,NT $390/8 ounces,60.0,78.0,390.0,Kenya
Colombia Pink Bourbon Honey,95.0,"San Diego, California","Huila Department, Colombia",Medium Light,$29.00/12 ounces,60.0,80.0,29.0,Colombia
Karatina Kenya,95.0,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium Light,$22.00/12 ounces,60.0,78.0,22.0,Kenya
Cerro Azul Geisha,95.0,"Madison, Wisconsin","Trujillo, Valle del Cauca Department, Colombia",Light,$28.00/8 ounces,62.0,80.0,28.0,Colombia
Kona SL34 Sweet Spot,94.0,"Holualoa, Hawaii","Kona growing region, Big Island of Hawai’i",Medium Light,$49.95/7 ounces,58.0,80.0,49.95,
Haraaz Red,95.0,"Madison, Wisconsin","Haraaz growing region, Yemen",Medium Light,$17.50/8 ounces,58.0,82.0,17.5,Yemen
Kona Mocca®,96.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$87.50/8 ounces,56.0,74.0,87.5,
Panama Elida Green-Tip Geisha La Torre ASD,95.0,"Branford, Connecticut","Boquete growing region, western Panama",Light,$120.00/16 ounces,62.0,84.0,120.0,Panama
Kona Peaberry,94.0,"Mountain View, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium Light,$35.00/10 ounces,56.0,76.0,35.0,
Panama Finca Los Lajones Natural,94.0,"San Diego, California","Boquete growing region, Panama",Light,$29.00/12 ounces,60.0,82.0,29.0,Panama
SL28,94.0,"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium Light,$33.00/8 ounces,56.0,76.0,33.0,
Bourbon Pointu Natural,94.0,"Holualoa, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium Light,$50.00/7 ounces,58.0,76.0,50.0,
Ethiopia Guji Hambela Buku Abel Slow Dry Natural 2400m,94.0,"Douliou City, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,NT $400/220 grams,64.0,82.0,14.109347442680775,Ethiopia
Yemen Al Mashtal Al Burhani,94.0,"Minneapolis, Minnesota","Haraaz growing region, Yemen",Medium Light,$24.95/4 ounces,58.0,78.0,24.95,Yemen
Flight Seasonal Espresso,95.0,"Floyd, Virginia",Ethiopia; Dominican Republic,Medium Light,$18.99/12 ounces,58.0,74.0,18.99,Republic
Panama Boquete Flor De Mariposa Geisha Espresso,96.0,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium Light,NT $500/8 ounces,54.0,76.0,500.0,Panama
Guji Ethiopia Washed,94.0,"Johns Creek, Georgia","Guji Zone, Oromia Region, southern Ethiopia",Light,$17.99/12 ounces,62.0,84.0,17.99,Ethiopia
Colombia Monteblanco Geisha,94.0,"Harrisonburg, Virginia","Huila Department, Colombia",Light,$9.99/4 ounces,64.0,82.0,9.99,Colombia
Ethiopia Gedeo Kochere Reko Natural,94.0,"Chia-Yi, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,$16.00/230 grams,64.0,84.0,0.564373897707231,Ethiopia
Costa Rica Aris Red Honey Lot 2002 Espresso,94.0,"Chia-Yi, Taiwan","Central Valley, Costa Rica",Medium Light,NT $270/8 ounces,52.0,70.0,270.0,Rica
Twisted V.6 Espresso,94.0,"Madison, Wisconsin",South America; Central America; Africa,Medium Light,$15.75/12 ounces,54.0,74.0,15.75,Africa
Aged Sumatra Ulos Batak 2015,94.0,"Minneapolis, Minnesota","Lintong growing region, Sumatra, Indonesia",Medium,$18.95/12 ounces,45.0,63.0,18.95,Indonesia
Kona Uluwehi SL34,94.0,"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium Light,$29.95/4 ounces,60.0,80.0,29.95,
Colombia Pink Bourbon Finca El Chaparote,94.0,"Minneapolis, Minnesota","Huila Department, Colombia",Light,$14.95/6 ounces,64.0,82.0,14.95,Colombia
Ethiopia Neja Fadil,94.0,"San Diego, California","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,$20.00/12 ounces,58.0,78.0,20.0,Ethiopia
Peru Buena Vista Valerio Almanza Ccahua,94.0,"Manlius, New York","Cusco, Peru",Medium Light,$27.00/8 ounces,60.0,78.0,27.0,Peru
Panama Finca Santa Teresa Lot 9,94.0,"Reno, Nevada","Volcan growing region, western Panama",Medium Light,$20.00/12 ounces,60.0,78.0,20.0,Panama
Guatemala Cobán Chicoj Cooperative Red Honey Fair Trade,94.0,"Yilan, Taiwan","Cobán growing region, central Guatemala",Medium Light,NT $320/200 grams,58.0,78.0,11.28747795414462,Guatemala
Ethiopia Halo Hartume Daniel Mijane,94.0,"Reno, Nevada","Yirgacheffe growing region, southern Ethiopia",Medium Light,$19.00/12 ounces,58.0,78.0,19.0,Ethiopia
Colombia Cauca El Paraiso,96.0,"Osaka, Japan","Cauca, Colombia",Light,"¥ 1,580/100 grams",85.0,105.0,,Colombia
Taiwan Songyue Geisha,94.0,"Osaka, Japan","Yunlin, Taiwan",Light,"¥ 2,640/50 grams",79.0,92.0,,Taiwan
Kenya Nyeri,94.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $650/225 grams,60.0,78.0,22.92768959435626,Kenya
Kenya Kirinyaga Baragwi Karumandi AA,94.0,"Durango, Colorado",South-central Kenya,Medium Light,$16.95/12 ounces,54.0,74.0,16.95,Kenya
Harimau Tiger Sumatra,94.0,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium Light,$17.00/12 ounces,54.0,74.0,17.0,Indonesia
Ethiopia Sidamo Washed,95.0,"Taipei, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Medium Light,NT $372/227 grams,58.0,78.0,13.121693121693122,Ethiopia
Ethiopia Guji Uraga Washed,95.0,"Taipei, Taiwan","Guji Zone, southern Ethiopia",Medium Light,NT $252/227 grams,60.0,78.0,8.88888888888889,Ethiopia
Indonesia Golden Sumatra TP Espresso,96.0,"Yilan, Taiwan","Aceh Province, Sumatra, Indonesia",Medium,NT $450/200 grams,44.0,62.0,15.873015873015872,Indonesia
Kenya Gachatha,95.0,"Sacramento, California",South-central Kenya,Medium Light,$22.50/12 ounces,54.0,72.0,22.5,Kenya
Ethiopia Suke Quto Single-Origin Espresso,94.0,"Sacramento, California","Guji Zone, Oromia Region, south-central Ethiopia",Medium Light,$19.00/12 ounces,52.0,72.0,19.0,Ethiopia
Ethiopia Gera Limu,94.0,"Sacramento, California","Oromia growing region, southern Ethiopia",Medium Light,$19.00/12 ounces,58.0,80.0,19.0,Ethiopia
Panama Pacamara Natural,94.0,"Lloydminster, Saskatchewan, Canada","Volcan growing region, western Panama",Medium Light,CAD $50/200 grams,52.0,70.0,,Panama
Ka’u Pink Honey,94.0,"Minneapolis, Minnesota","Ka'u District, Big Island of Hawai’i",Light,$24.95/4 ounces,64.0,84.0,24.95,
Kona Maragogype Pink Honey,94.0,"Minneapolis, Minnesota","Kainaliu, Kona District, Big Island of Hawai’i",Light,$29.95/4 ounces,64.0,86.0,29.95,
RD1 Espresso Blend,95.0,"Hsinchu, Taiwan",Guatemala; Ethiopia; Brazil; Indonesia,Medium Light,NT $300/8 ounces,54.0,72.0,300.0,Indonesia
Bull Espresso Blend,95.0,"New Taipei City, Taiwan",Guatemala; Brazil; Kenya,Medium Light,NT $450/454 grams,56.0,76.0,15.873015873015872,Kenya
Ethiopia Yirgacheffe Gotiti Natural,95.0,"Hsinchu, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,NT $380/8 ounces,58.0,80.0,380.0,Ethiopia
Ethiopia Demeka Becha,95.0,"Floyd, Virginia","Sidama growing region, southern Ethiopia",Light,$21.99/12 ounces,64.0,82.0,21.99,Ethiopia
Trust the Process — Full Natural,96.0,"Floyd, Virginia","Los Naranjos, La Argentina, Huila Department, Colombia",Light,$18.99/8 ounces,64.0,84.0,18.99,Colombia
Colombia Finca El Caucho Pink Bourbon,95.0,"Minneapolis, Minnesota","Huila, Colombia",Light,$16.95/6 ounces,62.0,80.0,16.95,Colombia
Colombia Antioquia Natural Carbonic Maceration Caturra,95.0,"Chia-Yi, Taiwan","Antioquia Department, Colombia",Medium Light,NT $310/8 ounces,60.0,80.0,310.0,Colombia
Colombia La Gallera Estate,94.0,"Chia-Yi, Taiwan","Tolima Department, Colombia",Light,NT $620/8 ounces,64.0,84.0,620.0,Colombia
Colombia Diofanor Ruiz,94.0,"Hong Kong, China","Quindío Department, Colombia",Medium Light,$25.00/6 ounces,58.0,76.0,25.0,Colombia
Colombia Java El Edén Limited Edition,94.0,"Columbus, Ohio","Tolima, Colombia",Medium Light,$30.00/12 ounces,58.0,80.0,30.0,Colombia
Finca La Maria Geisha Natural,94.0,"Taipei City, Taiwan","Cundinamarca, Colombia",Light,NT $1300/4 ounces,62.0,80.0,1300.0,Colombia
Angamaza,94.0,"Madison, Wisconsin","Conganama, Loja Province, Ecuador",Medium Light,$20.00/12 ounces,60.0,78.0,20.0,Ecuador
Ethiopia Rhapsody Espresso,95.0,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,NT $599/227 grams,52.0,70.0,21.128747795414462,Ethiopia
Kona Geisha Champagne Natural,95.0,"Minneapolis, Minnesota","Kealakekua, Kona, Big Island of Hawaii",Light,$74.95/4 ounces,64.0,84.0,74.95,Hawaii
Dafis Abafita Natural Ethiopia,95.0,"Topeka, Kansas","Oromia Region, Jimma Zone, Ethiopia",Light,$21.50/12 ounces,64.0,84.0,21.5,Ethiopia
Berg Wu Championship Sidamo Washed G1 Lot 20-02,95.0,"Chia-Yi, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Light,NT $340/8 ounces,64.0,84.0,340.0,Ethiopia
Ka’u Yellow Bourbon,94.0,"Mountain View, Hawaii","Ka’u growing region, Big Island of Hawai'i",Medium Light,$33.00/10 ounces,60.0,78.0,33.0,
Ethiopia Natural Hambela Wate,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $310/8 ounces,58.0,76.0,310.0,Ethiopia
Kinini Village Rwanda,94.0,"Topeka, Kansas","Northern Province, Rulindo District, Rwanda",Medium Light,$20.00/12 ounces,58.0,76.0,20.0,Rwanda
Ethiopia Natural Guji Uraga G1 Lot 20-05,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $375/8 ounces,58.0,78.0,375.0,Ethiopia
Kenya Nyeri Muchoki Estate AA,94.0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Light,NT $350/8 ounces,62.0,80.0,350.0,Kenya
Fruity Espresso Blend,95.0,"Hong Kong, China",Panama; Ethiopia; Kenya,Medium Light,HKD $118/200 grams,56.0,74.0,,Kenya
Ethiopia Yirgacheffe Cleopatra Natural,94.0,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,NT $600/200 grams,56.0,76.0,21.164021164021165,Ethiopia
Ethiopia Yirgacheffe Dumerso G1 Natural,94.0,"Bozeman, Montana","Yirgacheffe growing region, southern Ethiopia",Medium Light,$18.95/12 ounces,57.0,73.0,18.95,Ethiopia
Guatemala Santa Felisa Solar Eclipse Gesha Natural,94.0,"Taipei, Taiwan","Acatenango growing region, Guatemala",Light,NT $620/4 ounces,64.0,80.0,620.0,Guatemala
Coral,94.0,"Llayla District, Satipo Province, Peru","Llayla District, Satipo Province, Peru",Medium Light,$10.00/250 grams,58.0,78.0,0.3527336860670194,Peru
Ethiopia Guji Goro Muda Washed G1,95.0,"Kaohsiung City, Taiwan","Guji Zone, southern Ethiopia",Light,NT $450/8 ounces,64.0,82.0,450.0,Ethiopia
Ethiopian Guji Ana Sora Alcoholic Natural G1,94.0,"Kaohsiung City, Taiwan","Guji Zone, southern Ethiopia",Medium Light,NT $300/8 ounces,60.0,80.0,300.0,Ethiopia
Panama Hacienda La Esmeralda Gesha,96.0,"Chicago, Illinois","Boquete growing region, western Panama",Medium Light,$56.00/8 ounces,58.0,78.0,56.0,Panama
Ethiopia Cup of Excellence Guji Natural,95.0,"Minneapolis, Minnesota","West Guji Zone, Hambela Wamena Woreda, Ethiopia",Light,$19.95/4 ounces,68.0,90.0,19.95,Ethiopia
Ethiopia Sidama Telamo FTO Natural,95.0,"Berkeley, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$23.00/12 ounces,58.0,76.0,23.0,Ethiopia
Ethiopia Guji Laayyoo Natural,94.0,"Minneapolis, Minnesota","Guji Zone, southern Ethiopia",Light,$24.95/12 ounces,64.0,82.0,24.95,Ethiopia
Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,94.0,"Taichung City, Taiwan","Murang'a County, central Kenya",Medium Light,USD $206.00/8 ounces,56.0,78.0,,Kenya
Ethiopia Grade 1 Chelchele,94.0,"San Diego, California","Yirgacheffe growing region, southern Ethiopia",Light,$22.00/12 ounces,62.0,80.0,22.0,Ethiopia
Ethiopia Natural Yirgacheffe Gr.1 Cleopatra,95.0,"Taoyuan, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium,NT $1100/8 ounces,47.0,73.0,1100.0,Ethiopia
Taiwan Alishan Zhou-Zhu-Yuan Farm Estate Reserve Washed,94.0,"Taoyuan, Taiwan","Alishan, Taiwan",Medium,NT $1100/8 ounces,46.0,64.0,1100.0,Taiwan
Ethiopia Keramo Zero Oxygen Natural,94.0,"Redding, California","Keramo Village, Sidama Region, Ethiopia",Medium Light,$55.00/8 ounces,60.0,78.0,55.0,Ethiopia
Panama Elida ASD Natural,94.0,"Jersey City, New Jersey","Boquete growing region, western Panama",Light,$60.00/150 grams,62.0,80.0,2.1164021164021163,Panama
Peru Yanesha Geisha,94.0,"Kaohsiung City, Taiwan","Pasco Department, Villa Rica, Peru",Medium Light,"NT $1,000/8 ounces",61.0,79.0,,Peru
Ethiopia Guji Chembi,95.0,"Keelung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $450/227 grams,58.0,76.0,15.873015873015872,Ethiopia
Kenya Nyeri,94.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $450/225 grams,57.0,77.0,15.873015873015872,Kenya
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,95.0,"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium Light,$29.95/4 ounces,58.0,74.0,29.95,
Wush Wush,95.0,"Floyd, Virginia","Sidama growing region, southern Ethiopia",Light,$20.99/12 ounces,60.0,82.0,20.99,Ethiopia
Honey Typica Anaerobic,95.0,"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium Light,$75.00/16 ounces,56.0,74.0,75.0,
Geisha,94.0,"Captain Cook, Hawaii","North Kona growing district, “Big Island” of Hawai’i",Medium Light,$33.00/8 ounces,55.0,71.0,33.0,
Panama Abu Natural ASD Geisha BOP GN11,96.0,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium Light,NT $1200/4 ounces,58.0,76.0,1200.0,Panama
Ethiopia Kochere Boji,95.0,"Lexington, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium Light,$19.95/12 ounces,60.0,77.0,19.95,Ethiopia
Panama Finca Minerva-Mirage Pacamara BOP PAC04,95.0,"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium Light,NT $600/4 ounces,46.0,76.0,600.0,Panama
Tanzania Shimiligwanda,94.0,"Lexington, Virginia","Songwe Region, southwestern Tanzania",Light,$17.95/12 ounces,62.0,80.0,17.95,Tanzania
Ethiopia Natural Guji Blue-Donkey 2020,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $325/8 ounces,59.0,77.0,325.0,Ethiopia
Kenya Washed Peaberry Rnyeusi,94.0,"Chia-Yi, Taiwan","Central Province, Kenya",Medium Light,NT $325/8 ounces,52.0,74.0,325.0,Kenya
Ethiopia COE 2nd place Washed Sidamo Rumudamo,94.0,"Chia-Yi, Taiwan","Arbegona, Sidama (also Sidamo) growing region, south-central Ethiopia",Medium Light,NT $350/20 grams,60.0,78.0,12.345679012345679,Ethiopia
Ethiopia Yirgacheffe Natural Haru Suke G1,94.0,"Chia-Yi, Taiwan","Gedeo, Yirgacheffe growing region, south-central Ethiopia",Medium Light,NT $310/8 ounces,60.0,80.0,310.0,Ethiopia
Finca Sophia Gesha Washed,98.0,"San Rafael, California","Nueva Suiza, Chiriquí, Panama",Medium Light,$50.00/4 ounces,58.0,76.0,50.0,Panama
Colombia Granja La Esperanza Java Anaerobic,95.0,"San Diego, California","Valle del Cauca growing region, Colombia",Medium Light,$85.00/6 ounces,53.0,73.0,85.0,Colombia
Shantawene Ethiopia Daya Bensa Natural,94.0,"San Diego, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,$19.00/12 ounces,62.0,80.0,19.0,Ethiopia
Kenya AA FAQ,94.0,"Yilan, Taiwan",Kenya,Medium Light,NT $330/200 grams,60.0,77.0,11.64021164021164,Kenya
Ardent Ethiopia Natural,97.0,"Madison, Wisconsin","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$35.00/8 ounces,57.0,77.0,35.0,Ethiopia
Kona Mocca®,96.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$74.95/8 ounces,52.0,70.0,74.95,
Holiday Coffee,94.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$39.95/8 ounces,54.0,74.0,39.95,
Ethiopia Dur Feres Natural,94.0,"Floyd, Virginia","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$18.99/12 ounces,60.0,78.0,18.99,Ethiopia
Kenya AA Ares Phoenix Special,96.0,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,NT $900/8 ounces,44.0,60.0,900.0,Kenya
Esmeralda Estate Panama Geisha,94.0,"London, England","Boquete growing region, western Panama",,£45/10 capsules,0.0,0.0,,Panama
GW01 Finca Sophia Olympus Geisha,98.0,"Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Medium Light,"NT $5,000/20 grams",58.0,76.0,,Panama
La Esperanza Colombian Natural X.O.,94.0,"Durango, Colorado","Valle de Cauca, Colombia",Medium Light,$16.95/12 ounces,54.0,70.0,16.95,Colombia
Taiwan Geisha Honey,94.0,"Minneapolis, Minnesota","Alishan, Taiwan",Light,$64.95/4 ounces,62.0,80.0,64.95,Taiwan
Camilina Geisha,95.0,"San Diego, California","Piedra Candela, Chiriqui Province, western Panama",Medium Light,$85.00/6 ounces,60.0,78.0,85.0,Panama
Hacienda La Esmeralda Buenos Aires Geisha Natural,95.0,"Topeka, Kansas","Jaramillo, Panama",Medium Light,$65.00/8 ounces,54.0,70.0,65.0,Panama
Ethiopia Sidama Bona Washed G1,94.0,"Hsinchu, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$29.00/8 ounces,58.0,78.0,29.0,Ethiopia
Sidama Extreme Papilio Washed,94.0,"Taichung City, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$25.00/12 ounces,59.0,74.0,25.0,Ethiopia
Finca Santa Isabel,94.0,"Antigua, Guatemala","Cobán growing region, Alta Verapaz, Guatemala",Medium Light,$13.00/12 ounces,55.0,73.0,13.0,Guatemala
Finca San Carlos,94.0,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium Light,$13.00/12 ounces,56.0,72.0,13.0,Guatemala
Ethiopia Natural Guji D Minor Special Lot,97.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $400/8 ounces,60.0,76.0,400.0,Ethiopia
2020 Savage Auction Deborah Carbonic-Macerated Natural Geisha,94.0,"Chia-Yi, Taiwan","Chiriqui, Boquete growing region, western Panama",Medium Light,NT $750/4 ounces,58.0,74.0,750.0,Panama
Costa Rica Cordillera del Fuego,94.0,"Johns Creek, Georgia","Tarrazu, Costa Rica",Medium Light,$29.99/10 ounces,58.0,76.0,29.99,Rica
Ethiopia Bombe Mountains,94.0,"Jersey City, New Jersey","Bombe mountains, Sidama Region, southern Ethiopia",Medium Light,$25.00/12 ounces,58.0,76.0,25.0,Ethiopia
Ethiopia Yirgacheffe G1 Natural Asfaw Maru,94.0,"Bozeman, Montana","Yirgacheffe growing region, southern Ethiopia",Medium Light,$16.95/12 ounces,52.0,70.0,16.95,Ethiopia
Coffea Diversa Rume Sudan Winey,95.0,"Minneapolis, Minnesota","Suchitan, Guatemala",Light,$19.95/4 ounces,64.0,84.0,19.95,Guatemala
Hawai’i Puna Anaerobic Washed,94.0,"Minneapolis, Minnesota","Puna growing region, Big Island of Hawai’i",Medium Light,$19.95/4 ounces,58.0,76.0,19.95,
Colombia Hacienda Casablanca,94.0,"Toronto, Ontario, Canada","Cundinamarca, Colombia",Medium Light,US $20.00/12 ounces,62.0,78.0,,Colombia
Ethiopia Natural Guji Kercha Lot Riverside,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $275/8 ounces,58.0,78.0,275.0,Ethiopia
Costa Rica Yellow Honey Lot Kinka Bear,94.0,"Chia-Yi, Taiwan",Costa Rica,Medium Light,NT $250/8 ounces,52.0,70.0,250.0,Rica
San Diego Natural,95.0,"Madison, Wisconsin","Tarrazu, Costa Rica",Medium Light,$17.90/12 ounces,55.0,75.0,17.9,Rica
Buna Boka #1,94.0,"Madison, Wisconsin","idamo (also Sidama) growing region, south-central Ethiopia",Medium Light,$18.75/12 ounces,60.0,78.0,18.75,Ethiopia
El Jardin,94.0,"Madison, Wisconsin","Antioquia, Colombia",Medium Light,$28.00/8 ounces,58.0,74.0,28.0,Colombia
Kenya Wachuri,95.0,"San Rafael, California","Nyeri growing region, south-central Kenya",Medium,$22.00/12 ounces,48.0,66.0,22.0,Kenya
Kenya Baragwi Guama AB,95.0,"Bedford, New Hampshire","Kirinyaga District, south-central Kenya",Medium Light,$17.00/12 ounces,60.0,80.0,17.0,Kenya
Kenya ARES,95.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $380/115 grams,54.0,74.0,13.403880070546737,Kenya
Empress Kenya,95.0,"Taipei, Taiwan","Kiambu growing region, south-central Kenya",Medium Light,NT $550/225 grams,58.0,74.0,19.400352733686066,Kenya
Kenya Kiambu AB Top Lot,94.0,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium Light,NT $450/227 grams,54.0,72.0,15.873015873015872,Kenya
Kenya Kiambu Maua Lot AB,94.0,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium Light,NT $325/8 ounces,60.0,78.0,325.0,Kenya
Kenya Thunguri AA,94.0,"Los Angeles, California","Kirinyaga District, south-central Kenya",Medium Light,$21.95/12 ounces,58.0,80.0,21.95,Kenya
Kenya Kirinyaga Kabare Karani AA,94.0,"Toronto, Ontario, Canada","Kirinyaga District, south-central Kenya",Medium Light,CAD $22.00/225 grams,60.0,78.0,,Kenya
Kenya Kirinyaga Kii,94.0,"Yilan, Taiwan","Kirinyaga District, south-central Kenya",Medium Light,NT $500/200 grams,57.0,77.0,17.636684303350968,Kenya
Kenya Rungeto,94.0,"Carlsbad, California","Kirinyaga District, south-central Kenya",Medium Light,$23.00/12 ounces,56.0,72.0,23.0,Kenya
Kenya AA Top Gatomboya,94.0,"Martinez, California","Nyeri growing region, south-central Kenya",Medium Light,$12.00/8 ounces,54.0,72.0,12.0,Kenya
Heart & Soul Espresso Blend,94.0,"Martinez, California",Guatemala; Ethiopia,Medium,$12.00/8 ounces,50.0,70.0,12.0,Ethiopia
Ethiopia Banko Gotiti,94.0,"San Diego, California","Kochere, Yirgacheffe growing region, south-central Ethiopia",Medium Light,$20.00/12 ounces,57.0,77.0,20.0,Ethiopia
Ethiopia Yabitu Koba,94.0,"Santa Rosa Beach, Florida","Guji Zone, southern Ethiopia",Medium Light,$20.00/12 ounces,58.0,78.0,20.0,Ethiopia
Ethiopia Banko Gotiti,94.0,"Topeka, Kansas","Kochere, Yirgacheffe growing region, south-central Ethiopia",Medium Light,$19.50/12 ounces,60.0,78.0,19.5,Ethiopia
Rhapsody of Dreams,94.0,"Chia-Yi City, Taiwan","Kenya, Colombia",Medium Light,NT $450/227 grams,58.0,74.0,15.873015873015872,Colombia
Laura’s Reserve SL34,95.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai'i",Medium Light,$62.95/8 ounces,60.0,78.0,62.95,
Ethiopia Reko Yirgacheffe,94.0,"Sacramento, California","Yirgacheffe growing region, Ethiopia",Medium Light,$20.50/12 ounces,60.0,76.0,20.5,Ethiopia
Colombia Asobombo Inza,94.0,"Bedford, New Hampshire","Cauca, Colombia",Light,$16.00/12 ounces,62.0,84.0,16.0,Colombia
Ethiopia Sidamo Natural Twakok G1,94.0,"Kaohsiung, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium Light,NT $550/230 grams,52.0,72.0,19.400352733686066,Ethiopia
Panama Boquete Torre Lot #1 Geisha Honey,94.0,"Kaohsiung, Taiwan","Boquete, Panama",Light,NT $2500/100 grams,62.0,80.0,88.18342151675485,Panama
Yellow Caturra (special lot),94.0,"Ka'u, Hawaii","Ka’u growing region, Big island of Hawai’i",Medium Light,$15.00/4 ounces,56.0,70.0,15.0,
Hawai’i Kilauea Volcano Yeast Fermentation Washed,96.0,"Minneapolis, Minnesota","Puna, Big Island of Hawai’i",Medium Light,$29.95/4 ounces,58.0,76.0,29.95,
Kona Pink Honey Black Rock Farm,94.0,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium Light,$24.95/4 ounces,58.0,78.0,24.95,
Ethiopia Kayon Mountain,94.0,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium Light,$19.95/12 ounces,60.0,78.0,19.95,Ethiopia
Benti Nenqa #209 Ethiopia,94.0,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,$18.75/12 ounces,60.0,78.0,18.75,Ethiopia
El Salvador Santa Elena Pacamara,94.0,"Yilan, Taiwan","Chalatenango, El Salvador",Medium Light,NT $500/200 grams,54.0,70.0,17.636684303350968,Salvador
Ethiopia Sheka Kawo Kamina Natural,95.0,"Minneapolis, Minnesota","Illubabor Zone, Oromia Region, Ethiopia",Medium Light,$24.95/12 ounces,58.0,72.0,24.95,Ethiopia
Black Swan Blend,94.0,"Chia-Yi, Taiwan",Colombia; Guatemala; Ethiopia,Medium Light,NT $260/8 ounces,54.0,70.0,260.0,Ethiopia
Indonesia Lintong Mandheling,94.0,"Taipei, Taiwan","Lintong growing region, North Sumatra Province, Indonesia",Medium Light,NT $450/225 grams,58.0,78.0,15.873015873015872,Indonesia
